,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,10.0,10.0,0.2,10.0,10.0,0.2,0.2,0.2,10.0,10.0,0.2,0.2,0.2,0.2,0.2,0.2,10.0,10.0,0.2,0.2
1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.2,10.0,10.0,10.0,10.0,10.0,10.0,0.2,0.2,10.0,10.0
2,0.2,10.0,10.0,10.0,10.0,0.2,0.2,0.2,10.0,10.0,0.2,0.2,0.2,0.2,0.2,0.2,10.0,10.0,0.2,0.2
3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.30000000000000004,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.30000000000000004,10.0,0.30000000000000004
4,10.0,10.0,10.0,10.0,10.0,0.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
5,0.2,10.0,0.2,10.0,0.1,10.0,0.2,0.2,10.0,10.0,0.2,0.2,0.2,0.2,0.2,0.2,10.0,10.0,0.2,0.2
6,0.2,10.0,0.2,10.0,10.0,0.2,10.0,0.2,10.0,10.0,0.2,0.2,0.2,0.2,0.2,0.2,10.0,10.0,0.2,0.2
7,0.2,10.0,0.2,10.0,10.0,0.2,0.2,10.0,10.0,10.0,0.2,0.2,0.2,0.2,0.2,0.2,10.0,10.0,0.2,0.2
8,10.0,10.0,10.0,0.30000000000000004,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.30000000000000004,10.0,0.30000000000000004
9,10.0,0.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.2,0.2,10.0,10.0
10,0.2,10.0,0.2,10.0,10.0,0.2,0.2,0.2,10.0,10.0,10.0,0.2,0.2,0.2,0.2,0.2,10.0,10.0,0.2,0.2
11,0.2,10.0,0.2,10.0,10.0,0.2,0.2,0.2,10.0,10.0,0.2,10.0,0.2,0.2,0.2,0.2,10.0,10.0,0.2,0.2
12,0.2,10.0,0.2,10.0,10.0,0.2,0.2,0.2,10.0,10.0,0.2,0.2,10.0,0.2,0.2,0.2,10.0,10.0,0.2,0.2
13,0.2,10.0,0.2,10.0,10.0,0.2,0.2,0.2,10.0,10.0,0.2,0.2,0.2,10.0,0.2,0.2,10.0,10.0,0.2,0.2
14,0.2,10.0,0.2,10.0,10.0,0.2,0.2,0.2,10.0,10.0,0.2,0.2,0.2,0.2,10.0,0.2,10.0,10.0,0.2,0.2
15,0.2,10.0,0.2,10.0,10.0,0.2,0.2,0.2,10.0,10.0,0.2,0.2,0.2,0.2,0.2,10.0,10.0,10.0,0.2,0.2
16,10.0,0.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.2,10.0,10.0
17,10.0,0.2,10.0,0.30000000000000004,10.0,10.0,10.0,10.0,0.30000000000000004,0.2,10.0,10.0,10.0,10.0,10.0,10.0,0.2,10.0,10.0,0.30000000000000004
18,0.2,10.0,0.2,10.0,10.0,0.2,0.2,0.2,10.0,10.0,0.2,0.2,0.2,0.2,0.2,0.2,10.0,10.0,10.0,0.2
19,0.2,10.0,0.2,0.30000000000000004,10.0,0.2,0.2,0.2,0.30000000000000004,10.0,0.2,0.2,0.2,0.2,0.2,0.2,10.0,0.30000000000000004,0.2,10.0
