,Significance,Mantel_Statistic
0,0.001,0.9537231305216579
1,0.001,0.860289741895854
2,0.001,0.941370776697762
3,0.001,0.9817744262344991
4,0.001,0.956373975034028
5,0.001,0.936621255887823
6,0.001,0.908726689265042
7,0.001,0.8998176621305041
8,0.001,0.9425942582122651
9,0.001,0.979563058355689
10,0.001,0.8966319421807021
11,0.001,0.928897780405443
12,0.001,0.984431624739991
13,0.001,0.983635110872039
14,0.001,0.9533894716456841
15,0.001,0.9727678964512131
16,0.001,0.8832002451812591
17,0.001,0.7972861494226071
18,0.001,0.9558048602071229
19,0.001,0.957077444959678
20,0.001,0.934182268031044
21,0.001,0.9766400233111991
22,0.001,0.916759708683736
23,0.001,0.950514914408272
24,0.001,0.9567918460833879
25,0.001,0.983252035679106
26,0.001,0.854453227526364
27,0.001,0.969454949829917
28,0.001,0.9523245816872621
29,0.001,0.890745130355577
30,0.001,0.970531900953155
31,0.001,0.9792225103265229
32,0.001,0.9720080999893191
33,0.001,0.701023614351732
34,0.001,0.9167104399202719
35,0.001,0.879650337757697
36,0.001,0.8174717496588491
37,0.001,0.963894944649926
38,0.001,0.9562047566056949
39,0.001,0.95387430834727
40,0.001,0.972495907657832
41,0.001,0.955310788308869
42,0.001,0.855995718745549
43,0.001,0.852817024108105
44,0.001,0.9568631582500179
45,0.001,0.736505431996248
46,0.001,0.9277612977005429
47,0.001,0.920509372307384
48,0.001,0.984158960410731
49,0.001,0.9378929779610021
50,0.001,0.9520566483731792
51,0.001,0.8689321896157031
52,0.001,0.85225109772477
53,0.001,0.927676698474559
54,0.001,0.967112471627988
55,0.001,0.9135329943555291
56,0.001,0.8264984664996999
57,0.001,0.8282688222707841
58,0.001,0.8940591823062309
59,0.001,0.9144294888110921
60,0.001,0.912435859369818
61,0.001,0.9799723985359939
62,0.001,0.912528177354813
63,0.001,0.921182768558527
64,0.001,0.892451578534982
65,0.001,0.8935645961415501
66,0.001,0.850146579763052
67,0.001,0.9607649650443659
68,0.001,0.9396607159613142
69,0.001,0.9750447982944459
70,0.001,0.9798800974187009
71,0.001,0.96285696173659
72,0.001,0.9749574061416121
73,0.001,0.951307305950885
74,0.001,0.985850479705755
75,0.001,0.958728207893083
76,0.001,0.9446628454988271
77,0.001,0.9763173496516779
78,0.001,0.9105625032947611
79,0.001,0.989396713348243
80,0.001,0.8602896442234449
81,0.001,0.948661334895871
82,0.001,0.977835484237172
83,0.001,0.953480609058135
84,0.001,0.96547635105372
85,0.001,0.8915124999547701
86,0.001,0.977424173869005
87,0.001,0.8282510129079549
88,0.001,0.731993022431144
89,0.001,0.8948988603888699
90,0.001,0.903021034124085
91,0.001,0.88890631712173
92,0.001,0.896783094414713
93,0.001,0.879293514268692
94,0.001,0.9718135965711621
95,0.001,0.952690557103662
96,0.001,0.7242630646484379
97,0.001,0.9712719877995122
98,0.001,0.783453516400358
99,0.001,0.8892295544232329
